"prod_bal,bal_item,geo\time","B2200,12HL,AT","B2200,12HL,BE","B2200,12HL,BG","B2200,12HL,CY","B2200,12HL,CZ","B2200,12HL,DE","B2200,12HL,DK","B2200,12HL,EE","B2200,12HL,EL"
2005,2685.8,4,1961,328.943,580,10107,0,0,4282
2006,2225.3,3,1708,237.978,438,9256,0,0,3989
2007,2213.4,3,1757,183,434,9000,0,0,3874.3
2008,2578.1,3,1796,169,434,10363,: ,: ,3413.8
2009,2943.4,3,1617,146.75,840.3,10089,: ,0,3869.1
2010,2313.7,3,1426,146.52,545,9320,: ,0,3365.6
2011,1710.6,4.7,1224,117.6,385,6976,: ,0,2950
2012,2783.1,5.4,1236,84.64,650,9223,: ,0,2750
2013,2124.4,2.9,1442,111.83,487,9102,: ,0,31
2014,2353.4,5.5,1913,108.1,0,8493,: ,: ,
2015,1965.5,7,881,93.6,536,9294,: ,: ,
2016,2235.5,10.3,1568,79.3,: ,8907,: ,0,
