Year,Measure,UK,England,NI,Scotland,Wales
2010,Arisings thousands tonnes,26954,22131,829,2649,1344
2010,Recycled thousands tonnes,10879,9112,315,861,591
2011,Arisings thousands tonnes,26793,22170,810,2484,1329
2011,Recycled thousands tonnes,11496,9596,327,922,651
2012,Arisings thousands tonnes,26428,21956,783,2383,1306
2012,Recycled thousands tonnes,11603,9684,326,912,681
2013,Arisings thousands tonnes,25929,21564,781,2311,1274
2013,Recycled thousands tonnes,11445,9523,335,916,671
2014,Arisings thousands tonnes,26797,22355,808,2349,1285
2014,Recycled thousands tonnes,12044,10025,352,962,705
